Zhao_Mengfu,Autumn_colors_on_the_Qiao_and_Hua_mountains,creatorOf,1295.0,China
Zhao_Mengfu,Autumn_colors_on_the_Qiao_and_Hua_mountains,creatorOf,1295.0,Yuan_Empire
Zhao_Mengfu,Autumn_colors_on_the_Qiao_and_Hua_mountains,creatorOf,1296.0,Yuan_Empire
Zhao_Mengfu,Autumn_colors_on_the_Qiao_and_Hua_mountains,creatorOf,1296.0,China
Jean_de_Meun,Roman_de_la_Rose,authorOf,1300.0,France
anonymous,Manichaean_Diagram_of_the_Universe,creatorOf,1300.0,Yuan_Empire
Master_of_the_Magdalen,Madonna_and_Child_Enthroned,creatorOf,1300.0,Italy
Konstantin_Tih,Q12275321,authorOf,1300.0,Second_Bulgarian_Empire
Giotto_di_Bondone,Madonna_Enthroned,creatorOf,1300.0,Italy
Wincenty_of_Kielcza,Q55646733,authorOf,1300.0,Poland
anonymous,Q24944644,authorOf,1300.0,Poland
Guillaume_de_Lorris,Roman_de_la_Rose,authorOf,1300.0,France
Gona_Budda_Reddy,Ranganatha_Ramayan,authorOf,1300.0,Kakatiya_dynasty
Pearl_Poet,Sir_Gawain_and_the_Green_Knight,authorOf,1301.0,Kingdom_of_England
Stephen_Uroš_II_Milutin_of_Serbia,Q104615835,authorOf,1302.0,Kingdom_of_Serbia
Dante_Alighieri,De_vulgari_eloquentia,authorOf,1303.0,Italy
Master_of_Saint_Cecilia,Saint_Cecilia_and_scenes_from_her_life,creatorOf,1304.0,Italy
Dante_Alighieri,Convivio,authorOf,1304.0,Italy
Goodhart_Master,Madonna_and_Child_with_the_Annunciation_and_the_Nativity,creatorOf,1310.0,Italy
Goodhart_Master,"Madonna_and_Christ_Child_with_a_Bishop_Saint,_Saint_John_the_Baptist,_Saint_Michael_and_an_Unidentified_Saint",creatorOf,1310.0,Italy
Maestro_Daddesco,Annunciation_in_an_Initial_M,creatorOf,1310.0,Italy
Dante_Alighieri,De_Monarchia,authorOf,1312.0,Italy
Goodhart_Master,Madonna_and_Child_Enthroned_with_Two_Donors,creatorOf,1315.0,Italy
Master_of_Albertini,The_Virgin_and_Child_with_Six_Angels,creatorOf,1317.0,Italy
Dante_Alighieri,Eclogues,authorOf,1319.0,Italy
Goodhart_Master,"Madonna_and_Christ_Child_with_a_Bishop_Saint,_Saint_John_the_Baptist,_Saint_Michael_and_an_Unidentified_Saint",creatorOf,1320.0,Italy
Dante_Alighieri,Quaestio_de_aqua_et_terra,authorOf,1320.0,Italy
Maestro_Daddesco,The_Nativity,creatorOf,1320.0,Italy
Master_of_Saint_Cecilia,Madonna_enthroned_with_child,creatorOf,1320.0,Italy
Zhao_Mengfu,Grooms_and_Horses,creatorOf,1327.0,People's_Republic_of_China
Zhao_Yong,Grooms_and_Horses,creatorOf,1327.0,People's_Republic_of_China
Yoshida_Kenkō,Tsurezuregusa,authorOf,1331.0,Japan
